Date,Oppo,Samsung,Xiaomi,Unknown,Vivo,Apple,Realme,Infinix,Asus,Itel,Huawei,Tecno,Infinex,Sony,Nokia,Google,BBK,Lenovo,LG,OnePlus,Motorola,ZTE,Meizu,Other,Smartfren,Lava,BlackBerry,Wiko,Coolpad,Sharp,HTC,Mobicel,Xolo,Harga,Caterpillar,Acer,RIM,Fujitsu,Alcatel,Gionee,Opp,Hisense,AIS,InFocus,LeEco,Meisu,HP,Micromax,Spice,Dell,Palm,Unnamed: 1
2009-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01,,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
2010-02,,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
2010-03,,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
2010-04,,1.24,,,,0.7,,,,,,,,22.42,71.81,0.02,,,0.1,,0.27,,,0.02,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,0.02,
2010-05,,1.5,,,,0.67,,,,,,,,20.82,70.93,0.02,,,0.09,,0.21,,,0.01,,,,,,,,,,,,,5.74,,,,,,,,,,,,,,0.01,
2010-06,,1.76,,,,0.73,,,,,,,,20.19,68.08,0.01,,,0.08,,0.2,,,0.01,,,,,,,,,,,,,8.92,,,,,,,,,,,,,,0.02,
2010-07,,1.86,,,,0.82,,,,,,,,20.44,69.3,0.02,,,0.08,,0.21,,,0.02,,,,,,,,,,,,,7.22,,,,,,,,,,,,,,0.02,
